alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,beta1,beta2,beta3,beta4,beta5,lambda0,sigma2,xi
2.444766487033801,-2.1155734830604835,-1.9397033991265105,-1.208220489956334,-1.7515459180141746,-1.5727337057664148,12.878408047258668,56.05084578741217,-4.109613957141026,-14.927114850170591,21.770939584830654,5054.538030912289,0.17492316158869536,-0.00862879279457159
2.442052152907135,-1.832943356802513,-2.051886845126062,-0.9591696916086547,-1.676712972981596,-1.950567676157646,12.999367193445089,55.9048613297315,-4.418653072692055,-14.625422619806114,21.635592920383882,5051.315692227702,0.17517115854177634,-0.008486475939659979
2.4469123766809253,-2.326701607946025,-1.6412186533010384,-0.8242399630215353,-1.791769332879898,-2.3643304203199516,12.98090382998023,55.70979669086071,-4.4236159917425315,-14.524027177626953,21.454698810542112,5071.330344315834,0.17482716182149455,-0.008531849641577886
2.450303746741503,-2.5352628470676057,-1.5230744837121508,-0.8428786972100837,-1.3940025113616437,-2.8413936161372813,12.870268495706394,55.816670766089864,-4.226746716889148,-14.857385774460308,21.728416512065834,5129.1475460407955,0.17459686161368276,-0.008674314219682004
2.4601638715500673,-2.5972034008858547,-1.8056946590548106,-0.9600469112490062,-1.1812185591497606,-2.2757527457542897,12.986850171831222,55.93903448767692,-4.413479018748513,-14.85062877493316,21.572831783935534,5037.506142984032,0.17022609536448932,-0.009219045831434467
2.465705303823043,-2.480417720503296,-1.8388809598203297,-1.5867739901379188,-1.9377108384419186,-1.9545982936632307,12.894609863958193,55.657173019221155,-4.39780545337684,-14.63707838842523,21.37962686001124,5118.11452173994,0.17881963191939354,-0.009054620939085756
2.4574775198859347,-1.7741792810484986,-2.259069778545856,-1.7827800478828832,-1.6858976505635865,-1.9436451918681643,12.895566788257963,56.0257875795974,-4.3320121903899516,-14.90220473172762,21.530546874545312,5139.8200651285615,0.171483500091449,-0.008979665785382961
2.463123178812917,-2.8905666223587567,-1.6855497982798617,-1.918936954746247,-1.8702780708381814,-1.4051430049061508,12.963992740199627,56.30509775245018,-4.297590922528974,-14.969123680187257,21.728133437655643,5032.239956543448,0.179517735029299,-0.00856887703264456
2.4663669795173493,-2.6909883771643424,-2.1799661919622317,-1.6499380884278994,-2.1667473296672943,-1.646829285166603,13.046589668197063,56.621102833380235,-4.368131220527416,-14.72648899418748,21.546893243264662,4963.282957933806,0.1754749676712843,-0.008374205497907426
2.464322086592832,-1.6428147189291424,-1.8592215427435939,-1.7597087673754157,-2.0089288727005585,-2.4525368121524416,13.051557254653998,56.01753938421708,-4.355989062416845,-14.928665633846292,22.068226105417093,5004.624011666991,0.17728417835820923,-0.008567041366783832
2.4613526077990233,-1.8892177133880454,-2.21615919899323,-1.655280156176559,-1.5204126466636543,-2.2975139382470715,12.951230098158332,56.07650992875242,-4.299084972229485,-14.8603997658827,21.95758714028557,4919.826844650298,0.1781614611469189,-0.008737557974179608
2.468068681207641,-2.042742442527928,-2.4136064446558487,-1.9251253390686418,-2.2512916930513676,-1.856925063705585,12.958003377835416,56.46409668307669,-4.185264808608535,-14.805121610210968,21.689887409140475,4847.920802367061,0.17602849063381126,-0.008640893502636426
2.462393206126287,-2.605583379392477,-2.217175720126157,-1.3210063978976652,-2.174934434770051,-1.848184700379072,13.147535021824357,56.347277782055166,-4.406363053835313,-14.817534714960237,21.84718923138186,4886.7076135794705,0.17885520081919018,-0.00826741912680732
2.4467184365843107,-2.1606720519126186,-1.086061934364298,-2.4624237378972254,-1.6128281916691236,-0.9478159399131282,13.008616249271626,56.241992538645604,-4.406363053835313,-14.754122027537,21.813373972554444,4900.930998096127,0.17472548877626431,-0.008858963223386656
2.4401635215042585,-2.112037356450677,-1.6965886453179444,-1.4719527132120138,-0.7545060586247153,-1.8649769503598272,12.930154270378532,56.28809598113158,-4.308282381180714,-15.017628318566256,21.988163342364416,4972.799407413514,0.17322683129013994,-0.008688248900191884
2.4521614052599263,-2.5951258622453315,-1.7971206102367634,-1.3045862682277172,-1.712605425121052,-1.80850079503992,13.19846138265857,56.345112742125714,-4.752756761045821,-14.806303683415036,21.809896253257204,4961.543621179818,0.17233507523719216,-0.008443233598452012
